Circuito,Anno,Scuderia,Pilota,Nazionalità,Posizione Finale
Australian Grand Prix,2008,McLaren,Hamilton,British,1
Australian Grand Prix,2008,BMW Sauber,Heidfeld,German,2
Australian Grand Prix,2008,Williams,Rosberg,German,3
Australian Grand Prix,2008,Renault,Alonso,Spanish,4
Australian Grand Prix,2008,McLaren,Kovalainen,Finnish,5
Australian Grand Prix,2008,Williams,Nakajima,Japanese,6
Australian Grand Prix,2008,Toro Rosso,Bourdais,French,7
Australian Grand Prix,2008,Ferrari,Räikkönen,Finnish,8
Australian Grand Prix,2008,BMW Sauber,Kubica,Polish,9
Australian Grand Prix,2008,Toyota,Glock,German,10
Australian Grand Prix,2008,Super Aguri,Sato,Japanese,11
Australian Grand Prix,2008,Renault,Piquet Jr.,Brazilian,12
Australian Grand Prix,2008,Ferrari,Massa,Brazilian,13
Australian Grand Prix,2008,Red Bull,Coulthard,British,14
Australian Grand Prix,2008,Toyota,Trulli,Italian,15
Australian Grand Prix,2008,Force India,Sutil,German,16
Australian Grand Prix,2008,Red Bull,Webber,Australian,17
Australian Grand Prix,2008,Honda,Button,British,18
Australian Grand Prix,2008,Super Aguri,Davidson,British,19
Australian Grand Prix,2008,Toro Rosso,Vettel,German,20
Australian Grand Prix,2008,Force India,Fisichella,Italian,21
Australian Grand Prix,2008,Honda,Barrichello,Brazilian,22
Malaysian Grand Prix,2008,Ferrari,Räikkönen,Finnish,1
Malaysian Grand Prix,2008,BMW Sauber,Kubica,Polish,2
Malaysian Grand Prix,2008,McLaren,Kovalainen,Finnish,3
Malaysian Grand Prix,2008,Toyota,Trulli,Italian,4
Malaysian Grand Prix,2008,McLaren,Hamilton,British,5
Malaysian Grand Prix,2008,BMW Sauber,Heidfeld,German,6
Malaysian Grand Prix,2008,Red Bull,Webber,Australian,7
Malaysian Grand Prix,2008,Renault,Alonso,Spanish,8
Malaysian Grand Prix,2008,Red Bull,Coulthard,British,9
Malaysian Grand Prix,2008,Honda,Button,British,10
Malaysian Grand Prix,2008,Renault,Piquet Jr.,Brazilian,11
Malaysian Grand Prix,2008,Force India,Fisichella,Italian,12
Malaysian Grand Prix,2008,Honda,Barrichello,Brazilian,13
Malaysian Grand Prix,2008,Williams,Rosberg,German,14
Malaysian Grand Prix,2008,Super Aguri,Davidson,British,15
