categoria_dettaglio;anno;k_vocab;H;Hn;N;N_na_ignored;H_base;Hn_base;delta_Hn
Auto Aziendali;2015;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2016;3;0.6685644431995964;0.42181719939456;13;0;0.3794312366130831;0.2393944566136059;0.18242274278095413
Auto Aziendali;2017;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2018;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2019;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2020;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2021;3;0.6685644431995964;0.42181719939456;13;0;0.3794312366130831;0.2393944566136059;0.18242274278095413
Auto Aziendali;2022;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2023;3;0.6998428398862386;0.4415516705081735;12;0;0.3794312366130831;0.2393944566136059;0.20215721389456762
Auto Aziendali;2024;3;1.278897902987479;0.8068947387749439;17;0;0.3794312366130831;0.2393944566136059;0.567500282161338
Auto Aziendali;2025;3;1.1567796494470395;0.7298466991620975;7;0;0.3794312366130831;0.2393944566136059;0.4904522425484916
Beni immobili;2024;2;1.0;1.0;2;0;1.0;1.0;0.0
Bonus Lavoratore;2017;2;1.0;1.0;2;0;0.8112781244591328;0.8112781244591328;0.18872187554086717
Bonus Lavoratore;2018;2;0.9182958340544896;0.9182958340544896;1;0;0.8112781244591328;0.8112781244591328;0.10701770959535672
Bonus Lavoratore;2020;2;0.9182958340544896;0.9182958340544896;1;0;0.8112781244591328;0.8112781244591328;0.10701770959535672
Bonus Lavoratore;2024;2;0.8112781244591328;0.8112781244591328;2;0;0.8112781244591328;0.8112781244591328;0.0
Conferimento quota capitale;2015;2;0.9182958340544896;0.9182958340544896;7;0;0.9078619154263696;0.9078619154263696;0.010433918628119931
Conferimento quota capitale;2016;2;0.8453509366224364;0.8453509366224364;9;0;0.9078619154263696;0.9078619154263696;-0.06251097880393319
Conferimento quota capitale;2017;2;0.9402859586706311;0.9402859586706311;12;0;0.9078619154263696;0.9078619154263696;0.03242404324426151
Conferimento quota capitale;2018;2;0.9456603046006401;0.9456603046006401;9;0;0.9078619154263696;0.9078619154263696;0.037798389174270475
Conferimento quota capitale;2019;2;0.9456603046006401;0.9456603046006401;9;0;0.9078619154263696;0.9078619154263696;0.037798389174270475
Conferimento quota capitale;2020;2;0.9182958340544896;0.9182958340544896;7;0;0.9078619154263696;0.9078619154263696;0.010433918628119931
Conferimento quota capitale;2021;2;0.9182958340544896;0.9182958340544896;7;0;0.9078619154263696;0.9078619154263696;0.010433918628119931
Conferimento quota capitale;2022;2;0.9798687566511528;0.9798687566511528;10;0;0.9078619154263696;0.9078619154263696;0.07200684122478318
Conferimento quota capitale;2023;2;0.9798687566511528;0.9798687566511528;10;0;0.9078619154263696;0.9078619154263696;0.07200684122478318
Conferimento quota capitale;2024;2;0.8453509366224364;0.8453509366224364;9;0;0.9078619154263696;0.9078619154263696;-0.06251097880393319
Conferimento quota capitale;2025;2;0.9709505944546686;0.9709505944546686;8;0;0.9078619154263696;0.9078619154263696;0.06308867902829896
Hardware;2015;6;2.5825954275738683;0.9990842911080422;957;0;2.5843640234818843;0.9997684773999217;-0.0006841862918794961
Hardware;2016;6;2.5822913876317584;0.9989666724029256;860;0;2.5843640234818843;0.9997684773999217;-0.0008018049969961139
Hardware;2017;6;2.5772581783350668;0.9970195612571014;980;0;2.5843640234818843;0.9997684773999217;-0.0027489161428202458
Hardware;2018;6;2.5825740748354185;0.9990760307412307;928;0;2.5843640234818843;0.9997684773999217;-0.0006924466586909483
Hardware;2019;6;2.57857167365246;0.9975276906079245;928;0;2.5843640234818843;0.9997684773999217;-0.00224078679199724
Hardware;2020;6;2.5789314988020475;0.9976668899771559;890;0;2.5843640234818843;0.9997684773999217;-0.0021015874227657827
Hardware;2021;6;2.5832937451706126;0.9993544372306841;947;0;2.5843640234818843;0.9997684773999217;-0.0004140401692376283
Hardware;2022;6;2.58206383805425;0.9988786442100815;913;0;2.5843640234818843;0.9997684773999217;-0.0008898331898401501
Hardware;2023;6;2.581547951710988;0.9986790721299765;975;0;2.5843640234818843;0.9997684773999217;-0.001089405269945165
Hardware;2024;6;2.5845074177339753;0.9998239498688845;926;0;2.5843640234818843;0.9997684773999217;5.547246896275837e-05
Hardware;2025;6;2.574619807364802;0.9959989000407283;500;0;2.5843640234818843;0.9997684773999217;-0.0037695773591933657
Prestito bancario;2017;2;0.7642045065086203;0.7642045065086203;7;0;0.17437145292163492;0.17437145292163492;0.5898330535869853
Prestito bancario;2018;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2019;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2020;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2021;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2022;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2023;2;0.37123232664087563;0.37123232664087563;12;0;0.17437145292163492;0.17437145292163492;0.19686087371924071
Prestito bancario;2024;2;0.39124356362925566;0.39124356362925566;24;0;0.17437145292163492;0.17437145292163492;0.21687211070762075
Prestito bancario;2025;2;0.41381685030363374;0.41381685030363374;10;0;0.17437145292163492;0.17437145292163492;0.23944539738199883
Software;2015;6;2.5846897795863755;0.9998944970634179;914;0;2.5845645058837268;0.9998460345798756;4.846248354228866e-05
Software;2016;6;2.5802292875104826;0.9981689431822114;869;0;2.5845645058837268;0.9998460345798756;-0.0016770913976642543
Software;2017;6;2.5811318288501113;0.998518093833092;984;0;2.5845645058837268;0.9998460345798756;-0.0013279407467836624
Software;2018;6;2.5761786328093335;0.996601936039934;969;0;2.5845645058837268;0.9998460345798756;-0.0032440985399416755
Software;2019;6;2.582243433226305;0.9989481211065567;988;0;2.5845645058837268;0.9998460345798756;-0.000897913473318912
Software;2020;6;2.581048723005082;0.9984859441036448;944;0;2.5845645058837268;0.9998460345798756;-0.0013600904762308685
Software;2021;6;2.581670571706351;0.9987265080194059;876;0;2.5845645058837268;0.9998460345798756;-0.0011195265604697635
Software;2022;6;2.5776646727225616;0.9971768147520289;901;0;2.5845645058837268;0.9998460345798756;-0.002669219827846736
Software;2023;6;2.5828161434209314;0.9991696756530797;870;0;2.5845645058837268;0.9998460345798756;-0.0006763589267959613
Software;2024;6;2.5793029888971692;0.9978106019633136;903;0;2.5845645058837268;0.9998460345798756;-0.0020354326165620273
Software;2025;6;2.582808853874591;0.9991668556716145;478;0;2.5845645058837268;0.9998460345798756;-0.000679178908261191
Stipendi;2015;2;0.8997437586982626;0.8997437586982626;17;0;0.77027926225018;0.77027926225018;0.12946449644808267
Stipendi;2016;2;0.934068055375491;0.934068055375491;18;0;0.77027926225018;0.77027926225018;0.16378879312531103
Stipendi;2017;2;0.8524051786494786;0.8524051786494786;16;0;0.77027926225018;0.77027926225018;0.08212591639929867
Stipendi;2018;2;0.6962122601251458;0.6962122601251458;14;0;0.77027926225018;0.77027926225018;-0.07406700212503414
Stipendi;2019;2;0.8960382325345574;0.8960382325345574;14;0;0.77027926225018;0.77027926225018;0.12575897028437744
Stipendi;2020;2;0.7871265862012691;0.7871265862012691;15;0;0.77027926225018;0.77027926225018;0.01684732395108912
Stipendi;2021;2;0.6962122601251458;0.6962122601251458;14;0;0.77027926225018;0.77027926225018;-0.07406700212503414
Stipendi;2022;2;0.7871265862012691;0.7871265862012691;15;0;0.77027926225018;0.77027926225018;0.01684732395108912
Stipendi;2023;2;0.8524051786494786;0.8524051786494786;16;0;0.77027926225018;0.77027926225018;0.08212591639929867
Stipendi;2024;2;0.5435644431995964;0.5435644431995964;14;0;0.77027926225018;0.77027926225018;-0.22671481905058355
Stipendi;2025;2;0.8453509366224364;0.8453509366224364;9;0;0.77027926225018;0.77027926225018;0.07507167437225648
