ID Registro;Risorsa;Tipologia Risorsa;Valuta;Codice ISO;Importo;Data Movimento;Passaggio Fondi;Annotazioni;CashFlow - Categoria;CashFlow - Dettaglio
0000478d-38f4-49ed-952f-42ab81758b28;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4049,65;22/10/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
00032887-5994-49c8-9705-d4ddfd79d137;IT25O030692008000000001585;Conti Correnti - Deposito;Euro;EUR;-46104,39;12/02/2018;Si;Passaggio fondi (uscita);Finanziamenti;Conferimento quota capitale
00094f3c-9e8a-4aa4-b213-054b59b73cba;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1637,12;31/10/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
000d880d-414f-40eb-bf08-5cbd77eb7c0d;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-2513,26;14/04/2016;No;Movimento casuale - uscita;Reparti Operativi;Software
0011e380-45ac-4b37-af9a-2648b50c48b3;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-4053,55;04/04/2021;No;Movimento casuale - uscita;Reparti Operativi;Software
0016f69b-b1bb-465b-bef7-9478718da13a;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;472,1;11/04/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
0018ce65-1b21-4ed2-b5f4-8a51530e341e;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1217,06;05/05/2020;No;Movimento casuale - uscita;Reparti Operativi;Hardware
002644b7-a854-47f2-a8ec-489f5885d667;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-897,27;01/02/2019;No;Movimento casuale - uscita;Reparti Operativi;Software
00267b43-1863-4fd9-bbe9-087b3b530004;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1633,82;16/05/2025;No;Movimento casuale - uscita;Reparti Operativi;Software
00279ecb-bc46-4a2f-9082-27c7f5949730;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1336,44;01/06/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
00298032-5654-4b9c-952b-046f9838ec01;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;551,28;23/04/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
0029ae20-e6da-49e7-895b-ceac33b17927;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3297,02;21/02/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
002c5f7a-1ef3-41c6-a2bc-2f5f7cff3255;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;2826,78;09/04/2020;No;Movimento casuale - entrata;Reparti Operativi;Software
002c906f-2895-4c27-a90d-c2312dc5b5cd;IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3292,56;30/09/2016;No;Movimento casuale - entrata;Reparti Operativi;Software
003047c7-fbd0-4973-a12c-9dfe84d649cd;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-575,44;03/06/2024;No;Movimento casuale - uscita;Reparti Operativi;Software
0031532a-26cc-48b1-8df6-35ed9c52aab3;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;363,66;21/03/2023;No;Movimento casuale - entrata;Reparti Operativi;Hardware
0032420f-b6e9-4ce3-83dd-013e4d791116;IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;318,26;05/05/2019;No;Movimento casuale - entrata;Reparti Operativi;Software
